date,data,cols
1990-01-01,0.7855,0
1990-01-02,0.7818,0
1990-01-03,0.7867,0
1990-01-04,0.786,0
1990-01-05,0.7849,0
1990-01-06,0.7866,0
1990-01-07,0.7886,0
1990-01-08,0.791,0
1990-01-09,0.7939,0
1990-01-10,0.7894,0
1990-01-11,0.7917,0
1990-01-12,0.7941,0
1990-01-13,0.7935,0
1990-01-14,0.7954,0
1990-01-15,0.7751,0
1990-01-16,0.7622,0
1990-01-17,0.7583,0
1990-01-18,0.7605,0
1990-01-19,0.7635,0
1990-01-20,0.766,0
1990-01-21,0.7685,0
1990-01-22,0.7702,0
1990-01-23,0.7735,0
1990-01-24,0.7655,0
1990-01-25,0.7665,0
1990-01-26,0.7575,0
1990-01-27,0.7545,0
1990-01-28,0.7493,0
1990-01-29,0.7521,0
1990-01-30,0.7521,0
1990-01-31,0.7457,0
1990-02-01,0.75,0
1990-02-02,0.7567,0
1990-02-03,0.7595,0
1990-02-04,0.7586,0
1990-02-05,0.7646,0
1990-02-06,0.7652,0
1990-02-07,0.765,0
1990-02-08,0.7605,0
1990-02-09,0.7601,0
1990-02-10,0.7635,0
1990-02-11,0.7596,0
1990-02-12,0.7585,0
1990-02-13,0.7611,0
1990-02-14,0.7596,0
1990-02-15,0.7607,0
1990-02-16,0.7607,0
1990-02-17,0.758,0
1990-02-18,0.761,0
1990-02-19,0.7635,0
1990-02-20,0.7563,0
1990-02-21,0.7536,0
1990-02-22,0.7549,0
1990-02-23,0.7565,0
1990-02-24,0.752,0
1990-02-25,0.7504,0
1990-02-26,0.7474,0
1990-02-27,0.7469,0
1990-02-28,0.7452,0
1990-03-01,0.7471,0
1990-03-02,0.7523,0
1990-03-03,0.7548,0
1990-03-04,0.7561,0
1990-03-05,0.7605,0
1990-03-06,0.7669,0
1990-03-07,0.765,0
1990-03-08,0.765,0
1990-03-09,0.763,0
1990-03-10,0.7643,0
1990-03-11,0.7663,0
1990-03-12,0.7663,0
1990-03-13,0.765,0
1990-03-14,0.7654,0
1990-03-15,0.7653,0
1990-03-16,0.77,0
1990-03-17,0.7732,0
1990-03-18,0.7705,0
1990-03-19,0.7655,0
1990-03-20,0.7663,0
1990-03-21,0.766,0
